wikidata_id,name
Q2023461,Omnibusverkehrsgesellschaft Sonneberg
Q249341,Orion Reederei
Q882823,Ortenau-S-Bahn GmbH
Q802945,Oschersleben-Schöninger Eisenbahn-Gesellschaft
Q125915600,OSI4 UG
Q145188,Ostdeutsche Eisenbahn
Q131982026,Ostertalbahn
Q1423848,Ostmecklenburgische Eisenbahn
Q18288788,Ostprignitz-Ruppiner Personennahverkehrsgesellschaft
Q121863371,Ostprignitz-Ruppiner Personenverkehrsgesellschaft
Q2039792,Otto Lingner Verkehrs-GmbH
Q2023458,OVG Güstrow
Q2008259,OWL Verkehr
Q1239904,PaderSprinter
Q997158,PalatinaBus
Q1231567,Parkbahn
Q1590892,Paulinenaue-Neuruppiner Eisenbahn
Q68190818,Peiner Verkehrsgesellschaft
Q2071917,Perseus-Reisen
Q2072379,Personennahverkehrsgesellschaft Merseburg-Querfurt
Q2072383,Personenschifffahrt Bad Säckingen
Q15839992,Personenschifffahrt Gebr. Kolb
Q125490194,Personenverkehrsgesellschaft Altmarkkreis Salzwedel mbH
Q2072435,Personenverkehrsgesellschaft Burgenlandkreis
Q79964632,Personenverkehrsgesellschaft Weimarer Land
Q2074607,Peter Döhle Schiffahrts-KG
Q875494,Pfälzische Eisenbahnen
Q1539768,Pflieger Reise- und Verkehrs-GmbH + Co
Q2088491,Phoenix Air Service
Q1635879,Plauener Straßenbahn
Q1577065,Prenzlauer Kreisbahnen
Q2044566,PRG Personen- und Reiseverkehr Greiz
Q2109663,Prignitzer Eisenbahn AG
Q2109674,Prignitzer Eisenbahn GmbH
Q76632854,Prignitzer Kleinbahnmuseum Lindenberg
